name,bio,location,investment_stages,investment_markets,portfolio_companies
Aaron Goldman,"Aaron Goldman is a Managing Director and Head of General Atlantic’s Enterprise Technology sector, where he leads the firms efforts around enterprise and vertical software and innovative technologies. Prior to his current role, Aaron Co-Headed Financial Services where he focused on Fintech and Payments. In addition to the companies listed below Aaron has been involved in our investments in Clip, d:local, Fireblocks, Mollie, Outsystems, NYDIG, PingPong, Riskified, Spendesk, Strike and Visma. 

Prior to joining General Atlantic in 2007, Aaron was part of the growth equity arm of the Fremont Group in San Francisco where he made several investments in the Internet, communications and healthcare sectors. While at the Fremont Group, he served as President and Chief Financial Officer of LPL Technologies, a growth stage company focused on the early diagnosis of ovarian cancer. Prior to that, Aaron was an Analyst in Donaldson, Lufkin and Jenrette’s Leveraged Finance group.

Aaron serves on the boards of current portfolio companies Fresha, Gen II, Guideline, Jobber, and Modulr. He is also an observer on the boards of ISS STOXX, Spendesk, Talos, and HighLevel. 

Aaron graduated magna cum laude with a B.S. in economics and a concentration in finance from The Wharton School of Business at the University of Pennsylvania. He also earned an M.B.A. from Harvard Business School where he graduated with highest distinction and was a Baker Scholar. Aaron serves on the board of directors of Citymeals-on-Wheels.",new-york-new-york,,"fintech,ecommerce-retail",
Aaron Harris,,san-francisco-california,seed,,
Aaron Henshaw,Aaron Henshaw is the Head of Engineering at Grand St.,brooklyn-new-york,,,
Aaron Higbee,"Aaron is the co-founder and CTO of  Cofense, formerly known as PhishMe. He is responsible for directing all aspects of development and research that drives the feature set of this market-leading solution.",leesburg-virginia-fa31,,,
Aaron Hirschhorn,Aaron Hirschhorn is the Founder of Gallant. He UCLA Anderson School of Management from 2003 to 2005.,santa-monica-california,,,
Aaron Holiday,"Aaron is the co-founder and Managing Partner at 645 Ventures. He oversees the firm’s investing approach, strategy, investor relations, and governance.

Prior to 645, he developed advanced equities program trading and foreign exchange derivatives software at Goldman Sachs and GFI Group, and he established operational experience working with CEOs to build high-growth tech companies.

As the first Managing Entrepreneurial Officer at Cornell Tech, Aaron worked in tandem with Greg Pass (former Chief Technology Officer of Twitter) to create and pioneer the campus Studio culture and pedagogy. He also guided complex technology startups toward commercial success, including companies like Nanit, where he led 645's seed stage investment. Aaron is now on the governing board of Cornell Tech, alongside a small group of tech and business leaders.

Aaron received a B.S. in Computer Science with honors from Morehouse College and an MBA from Cornell University’s Johnson School of Management.",new-york-new-york,"Seed, Series A","saas-enterprise,ai-ml,hr-future-of-work",FiscalNote
Aaron Hurst,"Aaron Hurst is based out of Decatur, Georgia and is the Founder and General Partner of Dogwood Ventures. Aaron previously worked at Endeavor Atlanta as a Managing Director and Founder. Aaron Hurst attended the Georgia Institute of Technology.",decatur-georgia,,"saas-enterprise,fintech,cybersecurity,healthcare,agtech-food",
Aaron Ishikawa,"Tech strategist with 10+ years of experience directing teams to build, fund, and acquire aerospace technologies.","Los Angeles, California","Pre-Seed, Seed, Series A","data-analytics,logistics-supply-chain,aerospace-defense",
Aaron Jacobson,"Aaron Jacobson joined NEA in 2011 and is a Partner focused on investing in entrepreneurs seeking to build, scale and secure the next-generation of SaaS applications, big data platforms, and cloud infrastructure. He serves on the board of Tigera and illusive networks, and is an observer at NGINX, Streamsets, Move Guides, Mimosa Networks, Juvo, and Built Robotics. He has also worked closely with many other NEA portfolio companies including Box (NYSE:Box), Databricks, MapR, UnifyID, Bloom Energy, and Coursera. In 2016 he was named to Forbes Magazine’s “30 under 30” in Venture Capital and the Silicon Valley Business Journal’s ""40 Under 40”.

Prior to joining NEA, Aaron spent two years at Qatalyst Partners in San Francisco. At Qatalyst, Aaron worked as an Analyst engaged in various M&A transactions, which included the sale of PopCap Games to Electronic Arts, the sale of Riot Games to Tencent, the strategic investment in Go Daddy from KKR / Silver Lake / TCV, the sale of Palm to HP, and Conexant's sale to Golden Gate Capital, among others.

Aaron graduated Summa Cum Laude from the Jerome Fisher Program in Management and Technology at the University of Pennsylvania, where he earned dual Bachelor of Science degrees in Economics and Electrical Engineering, and carried a minor in Math.",menlo-park-california,,"saas-enterprise,ai-ml,cybersecurity,healthcare,cloud-infrastructure",
Aaron Kemmer,Aaron Kemmer is the Co-Founder of Magic.,miami-florida,,,
Aaron King,Aaron King is the Owner and Founder of Fusion75. He previously worked at Atlanta Interactive Marketing Association (AIMA) as a Board Member and Director of Technology.,atlanta-georgia,,,
Aaron Kwittken,"Aaron Kwittken is based out of New York, New York, and is the Founder and CEO of PRophet. Aaron previously worked at The Drum as a Member, US Editorial Advisory Board, Columnist. Aaron Kwittken attended the George Washington University. Aaron Kwittken has been certified as a Fire Service Professional.",new-york-new-york,,,
Aaron Lacheta,Co-Founder CSO of @SupportLocal. ,denver-colorado-b063,seed,,
Aaron Larue,"Currently building Balance Homes. Previously Product Leader @ Zillow, SoFi & Clara Lending (Acquired by SoFi). Excited about remote work. Film nerd at heart. Amateur pit master. Occasional writer.","San Francisco, California","Pre-Seed, Seed","saas-enterprise,fintech,marketing-adtech",
Aaron Levie,"Aaron Levie is Chief Executive Officer, Cofounder and Chairman at Box, which he launched in 2005 with CFO and cofounder Dylan Smith. He is the visionary behind the Box product and platform strategy, incorporating the best of secure content collaboration with an intuitive user experience suited to the way people work today. Aaron leads the company in its mission to transform the way people and businesses work so they can achieve their greatest ambitions. He has served on the Board of Directors since April 2005.

Aaron attended the University of Southern California from 2003 to 2005 before leaving to found Box.",san-francisco-bay-area-california,seed,"saas-enterprise,cloud-infrastructure",
